Original Rank,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Global_Sales,Record Type,Year Source
9328,9121,Nayuta no Kiseki,PSP,2012,Action,Nihon Falcom Corporation,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9148,9122,NBA ShootOut 2002,PS,2001,Sports,Sony Computer Entertainment,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9168,9123,NCAA Basketball Final Four 97,PS,1997,Sports,Mindscape,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9210,9124,NCIS,X360,2011,Adventure,Ubisoft,0.1,0.03,0,0.01,0.14,0.14,Original Data,Original Data
8361,8323,Tak: Mojo Mistake,DS,2008,Action,THQ,0.16,0,0,0.01,0.17,0.17,Original Data,Original Data
9197,9126,NFL Blitz 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0,0,0.14,0.14,Original Data,Original Data
9129,9127,NFL Head Coach 09,PS3,2008,Sports,Electronic Arts,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
8936,9128,NHL 2K10,X360,2009,Sports,Take-Two Interactive,0.11,0.02,0,0.01,0.15,0.14,Original Data,Original Data
9388,9129,NHL 2K9,PS2,2008,Sports,Take-Two Interactive,0.07,0.05,0,0.02,0.13,0.14,Original Data,Original Data
9311,9130,NHL Breakaway 98,PS,1996,Sports,Acclaim Entertainment,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9368,9131,NTRA Breeders' Cup World Thoroughbred Championships,PS2,2005,Simulation,Bethesda Softworks,0.07,0.05,0,0.02,0.13,0.14,Original Data,Original Data
8434,8334,TransFormers Animated: The Game,DS,2008,Action,Activision,0.15,0.01,0,0.01,0.17,0.17,Original Data,Original Data
9094,9133,Okami,PS3,2012,Action,Capcom,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9133,9134,Onimusha Essentials,PS2,2008,Action,Capcom,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9083,9135,Our House Party!,Wii,2009,Simulation,Unknown,0.13,0,0,0.01,0.14,0.14,Original Data - Year Corrected,MobyGames
4587,4561,Hometown Story,3DS,2013,Role-Playing,Rising Star Games,0.22,0.13,0.04,0.04,0.42,0.43,Original Data,Original Data
9103,9137,PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,0.09,0,0.04,0.01,0.14,0.14,Original Data,Original Data
9364,9138,Paperboy / Rampage,GBA,2005,Misc,Zoo Digital Publishing,0.1,0.04,0,0,0.13,0.14,Original Data,Original Data
9091,9139,PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
8610,8387,Ener-G Horse Riders,DS,2008,Sports,Ubisoft,0.14,0.01,0,0.01,0.16,0.16,Original Data,Original Data
9420,9141,Persona 4: Arena,X360,2012,Fighting,Atlus,0.08,0.02,0.03,0.01,0.13,0.14,Original Data,Original Data
9227,9142,Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0,0.01,0.13,0,0.14,0.14,Original Data,Original Data
9279,9143,Pet Pals: Animal Doctor,Wii,2008,Simulation,JoWood Productions,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9046,9144,Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9383,9145,Phantom Brave: We Meet Again,Wii,2009,Role-Playing,Nippon Ichi Software,0.12,0,0.01,0.01,0.13,0.14,Original Data,Original Data
9042,9146,Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9008,9147,Pipe Dreams 3D,PS,2001,Puzzle,Empire Interactive,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9100,9148,Pipe Mania,PS2,2008,Puzzle,Empire Interactive,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9106,9149,Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9207,9150,Power Gig: Rise of the SixString,PS3,2010,Misc,Unknown,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
8952,9151,Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0,0,0.14,0,0.15,0.14,Original Data,Original Data
8735,8405,The Quest Trio,DS,2008,Puzzle,Avanquest,0.14,0.01,0,0.01,0.15,0.16,Original Data,Original Data
7656,7539,Grandia II,DC,2000,Role-Playing,Ubisoft,0,0,0.2,0,0.2,0.2,Original Data,Original Data
8923,9154,Prince of Persia: The Two Thrones,GC,2005,Action,Ubisoft,0.11,0.03,0,0,0.15,0.14,Original Data,Original Data
9193,9155,Pro Yaky? Spirits 2014,PS3,2014,Sports,Konami Digital Entertainment,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9240,9156,Pro Yakyuu Netsu Star 2006,PS2,2006,Sports,Namco Bandai Games,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9127,9157,Project V6,PS,1998,Strategy,General Entertainment,0,0,0.13,0.01,0.14,0.14,Original Data,Original Data
8628,8437,Burger Island,DS,2008,Action,Destineer,0.15,0,0,0.01,0.16,0.16,Original Data,Original Data
9327,9159,Queen's Gate: Spiral Chaos,PSP,2011,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14,0.14,Original Data,Original Data
8575,8469,Ener-G: Dance Squad,DS,2008,Sports,Ubisoft,0.15,0,0,0.01,0.16,0.16,Original Data,Original Data
9027,9161,Ratatouille,GC,2007,Action,THQ,0.11,0.03,0,0,0.14,0.14,Original Data,Original Data
9017,9162,Rayman 3,GBA,2003,Platform,Ubisoft,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9236,9163,Rayman Arena,GC,2002,Racing,Ubisoft,0.11,0.03,0,0,0.14,0.14,Original Data,Original Data
9067,9164,Record of Agarest War 2,PS3,2010,Role-Playing,Compile Heart,0.09,0,0.04,0.01,0.14,0.14,Original Data,Original Data
15222,15150,Legend: Hand of God,PC,2007,Role-Playing,DTP Entertainment,0,0.02,0,0,0.02,0.02,Original Data,Original Data
8956,9166,Risen 2: Dark Waters,X360,2012,Role-Playing,Deep Silver,0.05,0.08,0,0.01,0.15,0.14,Original Data,Original Data
8993,8762,Metal Slug 7,DS,2008,Shooter,Ignition Entertainment,0.13,0,0.01,0.01,0.15,0.15,Original Data,Original Data
9226,9168,RockMan & Forte,SNES,1998,Platform,Capcom,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9265,9169,Rogue Warrior,PS3,2009,Shooter,Bethesda Softworks,0.11,0.02,0,0.01,0.14,0.14,Original Data,Original Data
8737,8795,Space Invaders Extreme,DS,2008,Shooter,Square Enix,0.12,0.01,0.01,0.01,0.15,0.15,Original Data,Original Data
9015,9171,Sakura Wars GB,GB,2000,Adventure,Media Factory,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9321,9172,Salt Lake 2002,PS2,2002,Sports,Eidos Interactive,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9068,9173,SBK 2011: FIM Superbike World Championship,PS3,2011,Racing,Black Bean Games,0.01,0.1,0,0.03,0.14,0.14,Original Data,Original Data
8887,9174,Scarface: The World is Yours,Wii,2007,Action,Vivendi Games,0.12,0.01,0,0.01,0.15,0.14,Original Data,Original Data
9151,9175,Scene It? Bright Lights! Big Screen!,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9229,9176,Science Papa,Wii,2009,Misc,Activision,0.12,0.01,0,0.01,0.14,0.14,Original Data,Original Data
9043,9177,Second Sight,PS2,2004,Adventure,Codemasters,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9031,9178,Sengoku Musou 3 Empires,PS3,2011,Action,Tecmo Koei,0,0,0.14,0,0.14,0.14,Original Data,Original Data
4679,4721,Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0,0,0.41,0,0.41,0.41,Original Data,Original Data
9367,9180,Sentou Kokka Air Land Battle,PS,1995,Strategy,Sony Computer Entertainment,0,0,0.13,0.01,0.13,0.14,Original Data,Original Data
9016,9181,Shining Force CD,SCD,1994,Strategy,Sega,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9294,9182,Shining Resonance,PS3,2014,Role-Playing,Sega,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9356,9183,Shonen Jump's One Piece: Grand Battle,PS2,2005,Fighting,Atari,0.07,0.05,0,0.02,0.13,0.14,Original Data,Original Data
9102,9184,Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9053,9185,Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9381,9186,SingStar Latino,PS2,2007,Misc,Sony Computer Entertainment,0.07,0.05,0,0.02,0.13,0.14,Original Data,Original Data
9149,9187,SingStar Vol. 3,PS3,2008,Misc,Sony Computer Entertainment,0,0.11,0,0.03,0.14,0.14,Original Data,Original Data
4979,5022,One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38,0.38,Original Data,Original Data
8983,9189,Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,Misc,Sega,0.1,0.04,0,0,0.15,0.14,Original Data,Original Data
9097,9190,Soukaigi,PS,1998,Role-Playing,SquareSoft,0,0,0.13,0.01,0.14,0.14,Original Data,Original Data
9222,9191,Space Venus starring Morning Musume,PS2,2001,Misc,Sony Music Entertainment,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9122,9192,Sphinx and the Cursed Mummy,GC,2003,Action,THQ,0.11,0.03,0,0,0.14,0.14,Original Data,Original Data
8961,8923,Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,505 Games,0,0,0.15,0,0.15,0.15,Original Data,Original Data
8611,8948,Time Hollow,DS,2008,Adventure,Konami Digital Entertainment,0.03,0.01,0.11,0,0.16,0.15,Original Data,Original Data
9054,9195,Star Ocean: Blue Sphere,GB,2001,Role-Playing,Enix Corporation,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9219,9196,Star Wars: Jedi Power Battles,GBA,2002,Action,THQ,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9464,9197,Steel Battalion: Heavy Armor,X360,2012,Misc,Capcom,0.08,0.03,0.02,0.01,0.13,0.14,Original Data,Original Data
5023,5027,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom,0,0,0.38,0,0.38,0.38,Original Data,Original Data
9217,9199,Super Puzzle Fighter II Turbo,PS,1996,Puzzle,Virgin Interactive,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9124,9200,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9360,9051,Freddi Fish: ABC under the sea,DS,2008,Misc,Atari,0.13,0,0,0.01,0.13,0.14,Original Data,Original Data
9004,9202,Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9250,9203,The Amazing Race,Wii,2010,Misc,Ubisoft,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9171,9204,The Bombing Islands,PS,1997,Platform,Kemco,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
8825,9205,The Cursed Crusade,X360,2011,Action,DTP Entertainment,0.08,0.05,0,0.01,0.15,0.14,Original Data,Original Data
9113,9206,The Da Vinci Code,PS2,2006,Action,Take-Two Interactive,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
15147,15305,Overlord,PC,2007,Strategy,Codemasters,0,0.02,0,0,0.02,0.02,Original Data,Original Data
9019,9208,The Fifth Element,PS,1998,Action,Sony Computer Entertainment,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9150,9209,The Granstream Saga,PS,1997,Role-Playing,Sony Computer Entertainment,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9351,9210,The Guy Game,PS2,2004,Misc,Gathering of Developers,0.07,0.05,0,0.02,0.13,0.14,Original Data,Original Data
9241,9211,The History Channel: Civil War - A Nation Divided,X360,2006,Shooter,Activision,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
8922,9212,The Incredible Hulk: Ultimate Destruction,GC,2005,Action,Vivendi Games,0.11,0.03,0,0,0.15,0.14,Original Data,Original Data
9198,9213,The King of Fighters '94 (CD),NG,1993,Fighting,SNK,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9084,9214,The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,0.03,0,0.11,0,0.14,0.14,Original Data,Original Data
9162,9215,The Operative: No One Lives Forever,PS2,2002,Shooter,Electronic Arts,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
14398,15372,Ratatouille,PC,2007,Action,THQ,0.01,0.01,0,0,0.03,0.02,Original Data,Original Data
8927,9217,The Walking Dead: Season Two,PSV,2014,Adventure,Telltale Games,0.1,0,0.01,0.03,0.15,0.14,Original Data,Original Data
9199,9218,The Walking Dead: Season Two,XOne,2014,Adventure,Telltale Games,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9283,9057,Gourmet Chef: Cook Your Way to Fame,DS,2008,Misc,Ubisoft,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
8954,9220,Thor: God of Thunder,X360,2011,Action,Sega,0.09,0.04,0,0.01,0.15,0.14,Original Data,Original Data
9033,9221,Thunder Truck Rally,PS,1997,Racing,Psygnosis,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9086,9065,Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9188,9223,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9223,9224,To Heart,PS,1999,Adventure,Aqua Plus,0,0,0.13,0.01,0.14,0.14,Original Data,Original Data
8970,9225,Tom Clancy's Ghost Recon,GC,2003,Shooter,Ubisoft,0.11,0.03,0,0,0.15,0.14,Original Data,Original Data
9301,9226,Tomb Raider: The Prophecy,GBA,2002,Action,Ubisoft,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9313,9227,Top Shot Arcade,Wii,2011,Shooter,Activision,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9071,9112,Monster Lab,DS,2008,Role-Playing,Eidos Interactive,0.12,0.01,0,0.01,0.14,0.14,Original Data,Original Data
9384,9113,Monster Rancher DS,DS,2008,Role-Playing,Tecmo Koei,0.08,0,0.05,0.01,0.13,0.14,Original Data,Original Data
9288,9230,UEFA Euro 2004: Portugal,PS2,2004,Sports,Electronic Arts,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
"11419, 13263",9231,Ultimate Ghosts 'n Goblins,PSP,2006,Platform,Capcom,0.07,0.01,0.05,0.01,"0.08, 0.05",0.14,New Merged Record,Original Data
9072,9232,Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9330,9160,Quick Yoga Training,DS,2008,Misc,Ubisoft,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9302,9234,Vampire Night,PS2,2001,Shooter,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9066,9235,Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0,0.06,0.01,0.14,0.14,Original Data,Original Data
9114,9236,Watch Dogs,WiiU,2014,Action,Ubisoft,0.08,0.05,0,0.01,0.14,0.14,Original Data,Original Data
9153,9237,WCW Backstage Assault,N64,2000,Action,Unknown,0.11,0.03,0,0,0.14,0.14,Original Data - Year Corrected,GameFAQs
8905,9219,The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,Role-Playing,D3Publisher,0.13,0,0,0.01,0.15,0.14,Original Data,Original Data
9224,9239,Wild ARMs XF,PSP,2007,Role-Playing,505 Games,0.07,0,0.06,0.01,0.14,0.14,Original Data,Original Data
9298,9240,Wild Earth: African Safari,Wii,2008,Simulation,Majesco Entertainment,0.11,0.02,0,0.01,0.14,0.14,Original Data,Original Data
9349,9241,Winter Stars,Wii,2011,Sports,Deep Silver,0.06,0.07,0,0.01,0.13,0.14,Original Data,Original Data
9061,9242,World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,0.13,0,0,0.01,0.14,0.14,Original Data,Original Data
9287,9243,World Soccer Winning Eleven 9 Bonus Pack,PS2,2006,Sports,Konami Digital Entertainment,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9295,9244,World Tour Soccer 2002,PS2,2001,Sports,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9130,9245,World Tour Soccer 2003,PS2,2002,Sports,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,0.14,Original Data,Original Data
9239,9246,X-Blades,PS3,2009,Action,SouthPeak Games,0.07,0.03,0.02,0.02,0.14,0.14,Original Data,Original Data
9099,9247,Xevious 3D/G+,PS,1997,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14,0.14,Original Data,Original Data
9111,9228,Top Spin 3,DS,2008,Action,D3Publisher,0.11,0.02,0,0.01,0.14,0.14,Original Data,Original Data
9146,9249,Your Shape: Fitness Evolved 2013,WiiU,2012,Action,Ubisoft,0.06,0.07,0,0.01,0.14,0.14,Original Data,Original Data
9375,9250,Ys: The Ark of Napishtim,PS2,2005,Role-Playing,Konami Digital Entertainment,0.07,0.05,0,0.02,0.13,0.14,Original Data,Original Data
8997,9251,Ys: The Oath in Felghana,PSP,2010,Role-Playing,Falcom Corporation,0.09,0,0.04,0.01,0.14,0.14,Original Data,Original Data
9109,9252,Yu-Gi-Oh! Monster Capture GB,GB,2000,Role-Playing,Konami Digital Entertainment,0,0,0.14,0,0.14,0.14,Original Data,Original Data
9112,9253,Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,0.1,0.04,0,0,0.14,0.14,Original Data,Original Data
9242,9254,Zetta Hero Project: Unlosing Ranger vs. Darkdeath Evilman,PSP,2010,Role-Playing,Nippon Ichi Software,0.07,0,0.06,0.01,0.14,0.14,Original Data,Original Data
9264,9255,Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.14,0.14,Original Data,Original Data
15017,15463,SimCity Societies,PC,2007,Simulation,Electronic Arts,0,0.02,0,0,0.02,0.02,Original Data,Original Data
15305,15477,Spider-Man 3,PC,2007,Platform,Activision,0.02,0,0,0,0.02,0.02,Original Data,Original Data
5279,5318,Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,Action,Namco Bandai Games,0,0,0.35,0,0.35,0.35,Original Data,Original Data
9159,9259,Injustice: Gods Among Us,PSV,2013,Fighting,Warner Bros. Interactive Entertainment,0.11,0.01,0,0.02,0.14,0.14,Original Data,Original Data
9163,9260,International Cricket 2010,X360,2010,Sports,Codemasters,0,0.12,0,0.02,0.14,0.14,Original Data,Original Data
9185,9261,Lips: I Love The 80s,X360,2010,Misc,Microsoft Game Studios,0,0.12,0,0.02,0.14,0.14,Original Data,Original Data
8835,9262,Mind Zero,PSV,2013,Role-Playing,GungHo,0.08,0,0.04,0.02,0.15,0.14,Original Data,Original Data
9334,9263,Peppa Pig: Fun and Games,Wii,2010,Misc,Ubisoft,0,0.12,0,0.02,0.13,0.14,Original Data,Original Data
9266,9264,Singstar: Ultimate Party,PS3,2014,Misc,Sony Computer Entertainment Europe,0,0.12,0,0.02,0.14,0.14,Original Data,Original Data
9262,9265,SNK vs. Capcom: The Match of the Millennium,PS2,2006,Fighting,Sega,0,0.02,0,0.12,0.14,0.14,Original Data,Original Data
9275,9266,Touch My Katamari,PSV,2011,Puzzle,Namco Bandai Games,0.08,0.04,0,0.02,0.14,0.14,Original Data,Original Data
9089,9267,TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,Ubisoft Annecy,0.06,0.03,0.03,0.02,0.14,0.14,Original Data,Original Data
9475,9268,Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software,0.06,0.02,0.04,0.02,0.13,0.14,Original Data,Original Data
9282,9269,Yu-Gi-Oh! GX: Tag Force,PSP,2006,Strategy,Konami Digital Entertainment,0.09,0.03,0,0.02,0.14,0.14,Original Data,Original Data
8978,9229,Travel Games For Dummies,DS,2008,Misc,Electronic Arts,0.13,0,0,0.01,0.15,0.14,Original Data,Original Data
9610,9271,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0,0.13,0.13,Original Data,Original Data
9619,9272,7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0,0,0.13,0,0.13,0.13,Original Data,Original Data
9465,9273,Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.1,0.02,0,0.01,0.13,0.13,Original Data,Original Data
9658,9274,Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9586,9275,Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0,0.13,0.13,Original Data,Original Data
9681,9276,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.03,0.12,0.13,Original Data,Original Data
5418,5539,Angry Birds Star Wars,3DS,2013,Strategy,Activision,0.15,0.15,0,0.03,0.34,0.33,Original Data,Original Data
9889,9278,Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,0.13,Original Data,Original Data
9427,9279,All Star Cheer Squad 2,Wii,2009,Sports,THQ,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9564,9280,All-Star Baseball 2004,XB,2003,Sports,Acclaim Entertainment,0.1,0.03,0,0,0.13,0.13,Original Data,Original Data
9529,9281,Alter Echo,PS2,2003,Shooter,THQ,0.06,0.05,0,0.02,0.13,0.13,Original Data,Original Data
9320,9270,007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.14,0.13,Original Data,Original Data
9448,9283,Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0,0.13,0.13,Original Data,Original Data
9507,9284,Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,0.13,Original Data,Original Data
9299,9285,Apex,XB,2003,Racing,Atari,0.1,0.03,0,0,0.14,0.13,Original Data,Original Data
9712,9286,Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,0.12,0,0,0.01,0.12,0.13,Original Data,Original Data
9399,9287,Army Men: Green Rogue,PS2,2001,Action,3DO,0.06,0.05,0,0.02,0.13,0.13,Original Data,Original Data
9528,9288,Army Men: Soldiers of Misfortune,Wii,2008,Shooter,Zoo Games,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
5821,5716,LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0,0.03,0.31,0.31,Original Data,Original Data
9575,9290,Assault: Retribution,PS,1998,Action,Telstar,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9440,9291,Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0,0,0.13,0,0.13,0.13,Original Data,Original Data
9599,9292,Avatar: The Last Airbender - Into the Inferno,DS,2008,Adventure,THQ,0.11,0.01,0,0.01,0.13,0.13,Original Data,Original Data
9269,9293,Avatar: The Last Airbender - The Burning Earth,X360,2007,Action,THQ,0.11,0.01,0,0.01,0.14,0.13,Original Data,Original Data
9378,9294,Azure Dreams,PS,1997,Role-Playing,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9329,9295,Back At The Barnyard: Slop Bucket Games,DS,2008,Sports,THQ,0.12,0,0,0.01,0.14,0.13,Original Data,Original Data
9554,9296,Backyard Baseball,GC,2003,Sports,Infogrames,0.1,0.03,0,0,0.13,0.13,Original Data,Original Data
9545,9297,Backyard Baseball '09,DS,2008,Sports,Atari,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9335,9298,Backyard Soccer,PS,2001,Sports,Infogrames,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9517,9299,Backyard Sports Football: Rookie Rush,Wii,2010,Sports,Atari,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9643,9351,Dragon Ball: Origins,DS,2008,Action,Atari,0.09,0.03,0,0.01,0.13,0.13,Original Data,Original Data
9628,9418,Left Brain Right Brain 2,DS,2008,Misc,Majesco Entertainment,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9648,9302,Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.08,0.04,0,0.01,0.13,0.13,Original Data,Original Data
9340,9303,Bio FREAKS,PS,1998,Action,GT Interactive,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9608,9304,Black Dawn,PS,1996,Simulation,Virgin Interactive,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9353,9305,Blade II,XB,2002,Action,Activision,0.1,0.03,0,0,0.13,0.13,Original Data,Original Data
9516,9306,BlazBlue: Continuum Shift II,PSP,2011,Fighting,PQube,0.03,0.02,0.07,0.01,0.13,0.13,Original Data,Original Data
9761,9307,Bodycount,PS3,2011,Shooter,Codemasters,0.05,0.06,0,0.02,0.12,0.13,Original Data,Original Data
9735,9308,Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,0.07,0.05,0,0.01,0.12,0.13,Original Data,Original Data
9525,9309,Borderlands: Double Game Add-On Pack,X360,2010,Shooter,Take-Two Interactive,0.1,0.02,0,0.01,0.13,0.13,Original Data,Original Data
9791,9455,My Chinese Coach,DS,2008,Misc,Ubisoft,0.11,0.01,0,0.01,0.12,0.13,Original Data,Original Data
9513,9311,Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0,0.02,0.13,0.13,Original Data,Original Data
9845,9312,Burning Road,PS,1996,Racing,FunSoft,0.07,0.05,0,0.01,0.12,0.13,Original Data,Original Data
9485,9313,Cabela's Alaskan Adventure,X360,2006,Sports,Activision,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9433,9314,Cabela's Dangerous Hunts 2009,X360,2008,Sports,Activision,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9559,9315,Cabela's Dangerous Hunts 2009,PS3,2008,Sports,Activision Value,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9218,9478,Ninjatown,DS,2008,Strategy,SouthPeak Games,0.12,0,0,0.01,0.14,0.13,Original Data,Original Data
9341,9317,Castlevania Chronicles,PS,2001,Platform,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9483,9318,Castlevania: Legacy of Darkness,N64,1999,Platform,Konami Digital Entertainment,0.06,0.02,0.05,0,0.13,0.13,Original Data,Original Data
9397,9319,Castrol Honda Superbike Racing,PS,1998,Racing,THQ,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
9468,9531,Sally's Salon,DS,2008,Simulation,Capcom,0.12,0,0,0.01,0.13,0.13,Original Data,Original Data
9401,9321,Chessmaster,XB,2004,Misc,Ubisoft,0.1,0.03,0,0,0.13,0.13,Original Data,Original Data
9410,9322,Chicken Run,PS,2000,Adventure,Eidos Interactive,0.07,0.05,0,0.01,0.13,0.13,Original Data,Original Data
